Runs,Mins,Ball Faced,4s,6s,Strike Rate,Possition,Dismissal,Innings, Against Match,Venue,Date,Match 
3,19,12,0,0,25.00,3,caught,2,West Indies,North Sound,2017-07-02,ODI
111,140,115,12,2,96.52,3,not out,2,West Indies,Kingston,2017-07-06,ODI
39,17,22,7,1,177.27,1,caught,1,West Indies,Kingston,2017-07-09,T20
103,158,136,5,1,75.73,4,not out,3,Sri Lanka,Galle,2017-07-26,Test
3,15,8,0,0,37.50,4,caught,1,Sri Lanka,Galle,2017-07-26,Test
13,31,29,2,0,44.82,4,caught,1,Sri Lanka,Colombo (SSC),2017-08-03,Test
42,119,84,3,0,50.00,4,caught,1,Sri Lanka,Pallekele,2017-08-12,Test
82,99,70,10,1,117.14,3,not out,2,Sri Lanka,Dambulla,2017-08-20,ODI
4,4,2,1,0,200.00,5,bowled,2,Sri Lanka,Pallekele,2017-08-24,ODI
3,15,11,0,0,27.27,3,caught,2,Sri Lanka,Pallekele,2017-08-27,ODI
131,140,96,17,2,136.45,3,caught,1,Sri Lanka,Colombo (RPS),2017-08-31,ODI
110,150,116,9,0,94.82,3,not out,2,Sri Lanka,Colombo (RPS),2017-09-03,ODI
82,79,54,7,1,151.85,3,caught,2,Sri Lanka,Colombo (RPS),2017-09-06,T20
0,7,4,0,0,0.00,3,caught,1,Australia,Chennai,2017-09-17,ODI
92,148,107,8,0,85.98,3,bowled,1,Australia,Eden Gardens,2017-09-21,ODI
28,58,35,2,0,80.00,3,caught,2,Australia,Indore,2017-09-24,ODI
21,23,21,3,0,100.00,3,bowled,2,Australia,Bengaluru,2017-09-28,ODI
39,73,55,2,0,70.90,3,caught,2,Australia,Nagpur,2017-10-01,ODI
22,19,14,3,0,157.14,3,not out,2,Australia,Ranchi,2017-10-07,T20
0,2,2,0,0,0.00,3,caught,1,Australia,Guwahati,2017-10-10,T20
121,203,125,9,2,96.80,3,caught,1,New Zealand,Wankhede,2017-10-22,ODI
29,40,29,3,1,100.00,3,caught,2,New Zealand,Pune,2017-10-25,ODI
113,166,106,9,1,106.60,3,caught,1,New Zealand,Kanpur,2017-10-29,ODI
26,19,11,0,3,236.36,4,not out,1,New Zealand,Delhi,2017-11-01,T20
65,59,42,8,1,154.76,4,caught,2,New Zealand,Rajkot,2017-11-04,T20
13,6,6,1,1,216.66,3,caught,1,New Zealand,Thiruvananthapuram,2017-11-07,T20
104,208,119,12,2,87.39,4,not out,3,Sri Lanka,Eden Gardens,2017-11-16,Test
0,18,11,0,0,0.00,4,lbw,1,Sri Lanka,Eden Gardens,2017-11-16,Test
213,386,267,17,2,79.77,4,caught,2,Sri Lanka,Nagpur,2017-11-24,Test
50,89,58,3,0,86.20,5,caught,3,Sri Lanka,Delhi,2017-12-02,Test
243,447,287,25,0,84.66,4,lbw,1,Sri Lanka,Delhi,2017-12-02,Test
28,62,40,4,0,70.00,4,lbw,4,South Africa,Cape Town,2018-01-05,Test
5,14,13,0,0,38.46,4,caught,2,South Africa,Cape Town,2018-01-05,Test
5,22,20,1,0,25.00,4,lbw,4,South Africa,Centurion,2018-01-13,Test
153,379,217,15,0,70.50,4,caught,2,South Africa,Centurion,2018-01-13,Test
41,131,79,6,0,51.89,5,bowled,3,South Africa,Johannesburg,2018-01-24,Test
54,146,106,9,0,50.94,4,caught,1,South Africa,Johannesburg,2018-01-24,Test
112,164,119,10,0,94.11,3,caught,2,South Africa,Durban,2018-02-01,ODI
46,64,50,4,1,92.00,3,not out,2,South Africa,Centurion,2018-02-04,ODI
160,220,159,12,2,100.62,3,not out,1,South Africa,Cape Town,2018-02-07,ODI
75,119,83,7,1,90.36,3,caught,1,South Africa,Johannesburg,2018-02-10,ODI
36,76,54,2,0,66.66,3,run out,1,South Africa,Gqeberha,2018-02-13,ODI
