Runs,Mins,Ball Faced,4s,6s,Strike Rate,Possition,Dismissal,Innings, Against Match,Venue,Date,Match 
38,80,65,2,0,58.46,3,caught,2,Sri Lanka,Colombo (RPS),2012-07-28,ODI
128,187,119,12,1,107.56,3,not out,2,Sri Lanka,Colombo (RPS),2012-07-31,ODI
23,42,35,2,0,65.71,3,lbw,1,Sri Lanka,Pallekele,2012-08-04,ODI
68,65,48,11,1,141.66,3,caught,1,Sri Lanka,Pallekele,2012-08-07,T20
58,143,107,8,0,54.20,5,caught,1,New Zealand,Hyderabad,2012-08-23,Test
51,130,82,9,0,62.19,5,not out,4,New Zealand,Bengaluru,2012-08-31,Test
103,284,193,14,1,53.36,5,lbw,2,New Zealand,Bengaluru,2012-08-31,Test
70,67,41,10,1,170.73,2,caught,2,New Zealand,Chennai,2012-09-11,T20
50,60,39,4,2,128.20,3,caught,1,Afghanistan,Colombo (RPS),2012-09-19,T20
40,33,32,6,0,125.00,3,caught,1,England,Colombo (RPS),2012-09-23,T20
15,18,13,2,0,115.38,3,caught,1,Australia,Colombo (RPS),2012-09-28,T20
78,61,61,8,2,127.86,3,not out,2,Pakistan,Colombo (RPS),2012-09-30,T20
2,5,6,0,0,33.33,3,caught,1,South Africa,Colombo (RPS),2012-10-02,T20
14,17,21,3,0,66.66,3,not out,4,England,Ahmedabad,2012-11-15,Test
19,70,67,3,0,28.35,5,bowled,1,England,Ahmedabad,2012-11-15,Test
7,16,13,1,0,53.84,5,caught,3,England,Wankhede,2012-11-23,Test
19,65,55,3,0,34.54,5,caught,1,England,Wankhede,2012-11-23,Test
20,86,60,3,0,33.33,5,caught,3,England,Eden Gardens,2012-12-05,Test
6,31,24,1,0,25.00,5,caught,1,England,Eden Gardens,2012-12-05,Test
103,356,295,11,0,34.91,5,lbw,2,England,Nagpur,2012-12-13,Test
21,35,17,2,0,123.52,3,bowled,2,England,Pune,2012-12-20,T20
38,25,20,7,0,190.00,3,lbw,1,England,Wankhede,2012-12-22,T20
9,15,11,1,0,81.81,3,caught,1,Pakistan,Bengaluru,2012-12-25,T20
27,31,22,3,0,122.72,3,run out,1,Pakistan,Ahmedabad,2012-12-28,T20
0,9,5,0,0,0.00,3,bowled,1,Pakistan,Chennai,2012-12-30,ODI
6,12,9,1,0,66.66,3,caught,2,Pakistan,Eden Gardens,2013-01-03,ODI
7,25,17,1,0,41.17,3,caught,1,Pakistan,Delhi,2013-01-06,ODI
15,45,22,1,0,68.18,3,caught,2,England,Rajkot,2013-01-11,ODI
37,86,54,1,1,68.51,3,caught,1,England,Kochi,2013-01-15,ODI
77,110,79,9,2,97.46,3,not out,2,England,Ranchi,2013-01-19,ODI
26,44,33,3,0,78.78,3,caught,2,England,Mohali,2013-01-23,ODI
0,1,1,0,0,0.00,3,caught,1,England,Dharamsala,2013-01-27,ODI
107,266,206,15,1,51.94,5,caught,2,Australia,Chennai,2013-02-22,Test
34,119,92,3,0,36.95,5,caught,2,Australia,Hyderabad,2013-03-02,Test
34,80,61,6,0,55.73,3,caught,4,Australia,Mohali,2013-03-14,Test
67,157,129,7,1,51.93,5,not out,2,Australia,Mohali,2013-03-14,Test
41,76,60,4,0,68.33,3,lbw,4,Australia,Delhi,2013-03-22,Test
1,11,8,0,0,12.50,3,lbw,2,Australia,Delhi,2013-03-22,Test
31,46,41,2,0,75.60,3,caught,1,South Africa,Cardiff,2013-06-06,ODI
22,18,18,4,0,122.22,3,bowled,2,West Indies,The Oval,2013-06-11,ODI
22,36,27,3,0,81.48,3,not out,2,Pakistan,Birmingham,2013-06-15,ODI
58,80,64,4,1,90.62,3,not out,2,Sri Lanka,Cardiff,2013-06-20,ODI
43,66,34,4,1,126.47,3,caught,1,England,Birmingham,2013-06-23,ODI
11,19,21,0,1,52.38,3,caught,1,West Indies,Kingston,2013-06-30,ODI
2,6,5,0,0,40.00,4,caught,2,Sri Lanka,Kingston,2013-07-02,ODI
102,120,83,13,2,122.89,3,caught,1,West Indies,Port of Spain,2013-07-05,ODI
31,62,52,4,0,59.61,3,lbw,1,Sri Lanka,Port of Spain,2013-07-09,ODI
2,8,5,0,0,40.00,3,caught,2,Sri Lanka,Port of Spain,2013-07-11,ODI
115,133,108,13,1,106.48,3,caught,2,Zimbabwe,Harare,2013-07-24,ODI
14,35,18,2,0,77.77,3,caught,1,Zimbabwe,Harare,2013-07-26,ODI
68,128,88,5,1,77.27,3,not out,2,Zimbabwe,Harare,2013-07-28,ODI
29,26,22,2,1,131.81,4,caught,2,Australia,Rajkot,2013-10-10,T20
61,121,85,6,0,71.76,3,lbw,2,Australia,Pune,2013-10-13,ODI
100,82,52,8,7,192.30,3,not out,2,Australia,Jaipur,2013-10-16,ODI
68,121,73,9,0,93.15,3,caught,1,Australia,Mohali,2013-10-19,ODI
115,104,66,18,1,174.24,3,not out,2,Australia,Nagpur,2013-10-30,ODI
0,4,3,0,0,0.00,3,run out,1,Australia,Bengaluru,2013-11-02,ODI
3,13,5,0,0,60.00,5,caught,2,West Indies,Eden Gardens,2013-11-06,Test
57,80,78,5,0,73.07,5,caught,2,West Indies,Wankhede,2013-11-14,Test
86,120,84,9,2,102.38,3,caught,2,West Indies,Kochi,2013-11-21,ODI
99,159,100,9,0,99.00,3,caught,1,West Indies,Visakhapatnam,2013-11-24,ODI
19,19,18,3,0,105.55,3,caught,2,West Indies,Kanpur,2013-11-27,ODI
31,41,35,5,0,88.57,3,caught,2,South Africa,Johannesburg,2013-12-05,ODI
